date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:21	63566/63566	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_25_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_25_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:21	92297/92297	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2021:13:32%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_24_3.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_24_3.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:22	137318/137318	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_23_2.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_23_2.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:22	63400/63400	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_22_2.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_22_2.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:23	99706/99706	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_21_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_21_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:23	76708/76708	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_20_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_20_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:24	131708/131708	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_19_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_19_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:24	77641/77641	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_18_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_18_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:25	111405/111405	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_17_2.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_17_2.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:25	90406/90406	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_16_3.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_16_3.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:25	84171/84171	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_15_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_15_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:26	84734/84734	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_14_2.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_14_2.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:26	49930/49930	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_13_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_13_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:26	43697/43697	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_12_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_12_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:26	93782/93782	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_11_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_11_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:27	8952/8952	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_10_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_10_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:27	64234/64234	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_9_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_9_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:27	53541/53541	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_8_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_8_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:28	102737/102737	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_7_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_7_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:28	68652/68652	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_6_1.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_6_1.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:29	76680/76680	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_5_2.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_5_2.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:29	58402/58402	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_4_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_4_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:29	76401/76401	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_3_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_3_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:30	56138/56138	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_2_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_2_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:30	13037/13037	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/beta_release_notes.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/beta_release_notes.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:30	98699/98699	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_1_0.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_1_0.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:31	85344/85344	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_14.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_14.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:31	102690/102690	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_13.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_13.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:31	114868/114868	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_12.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_12.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:32	107590/107590	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_11.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_11.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
22:37:32	86652/86652	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2014:12:34%20GMT	https://ninjatrader.com/support/helpGuides/nt8/8_0_0_10.htm	C:/My%20Web%20Sites/NinjaScript/ninjatrader.com/support/helpGuides/nt8/8_0_0_10.html	(from https://ninjatrader.com/support/helpGuides/nt8/hmcontent.htm)
